date,eur,usd,gbp,aud,nzd,cad,chf,jpy
2019_09_09,208,-433,727,238,111,62,-501,-412
2019_09_10,-31,66,119,-1,-22,142,19,-292
2019_09_11,-330,1358,-177,38,-76,-400,-97,-316
2019_09_12,542,-441,48,46,21,-160,246,-302
2019_09_13,68,-743,1651,133,-297,-829,23,-6
2019_09_16,-698,2688,-457,26,-237,-197,-517,-608
2019_09_17,740,-1577,742,10,173,-33,-88,33
2019_09_18,-423,2756,-290,-367,-412,-477,-449,-338
2019_09_19,125,-1117,520,-351,-138,195,410,356
2019_09_20,-214,1033,-532,-273,-449,-42,20,457
2019_09_23,-147,-20,-338,10,253,-11,71,182
2019_09_24,269,-2573,701,271,323,144,408,457
2019_09_25,-790,4977,-1420,-512,-536,-291,-705,-723
2019_09_26,-226,566,-235,-10,249,1,-242,-103
2019_09_27,224,-513,-351,170,17,289,269,-105
2019_09_30,-414,1603,37,-108,-184,-58,-765,-111
2019_10_01,337,-962,272,-457,-150,188,447,325
2019_10_02,268,283,-7,39,289,-1030,-391,549
2019_10_03,34,-970,322,366,289,-102,-208,269
2019_10_04,139,-1211,52,244,132,289,350,5
2019_10_07,-85,1198,-135,-235,-130,134,-163,-584
2019_10_08,-137,607,-696,-26,108,-167,152,159
2019_10_09,144,1002,-148,-41,-55,-102,-376,-424
2019_10_10,351,-3027,2391,391,279,371,-266,-490
2019_10_11,307,-3492,2255,298,197,872,30,-467
2019_10_14,-57,1221,-191,-93,-300,-331,-195,-54
2019_10_15,71,-1244,1788,-175,-31,276,-212,-473
2019_10_16,418,-1415,494,63,-10,-9,377,82
2019_10_17,524,-3949,687,707,615,638,684,94
2019_10_18,461,-2666,826,307,369,97,355,251
2019_10_21,-117,-484,123,229,287,431,-184,-285
2019_10_22,-241,1546,-859,-98,24,-59,-412,99
2019_10_23,53,-573,425,21,209,219,-147,-207
2019_10_24,-257,1777,-555,-341,-405,-3,-254,38
2019_10_25,-240,1041,-261,34,-316,94,-262,-90
2019_10_28,195,-571,421,173,10,18,-9,-237
2019_10_29,108,-413,179,280,63,-344,47,80
2019_10_30,380,-1276,457,373,319,-727,438,36
2019_10_31,28,-1707,485,-52,279,-60,271,756
2019_11_01,139,-543,-65,199,139,213,66,-148
2019_11_04,-410,2244,-465,-282,-327,-146,-267,-347
2019_11_05,-546,1823,6,112,-272,-48,-485,-590
2019_11_06,-77,616,-275,-94,-58,-285,-19,192
2019_11_07,-175,928,-386,144,20,86,-301,-316
2019_11_08,-304,2233,-420,-385,-419,-540,-242,77
2019_11_11,98,-1212,572,-67,268,-139,319,161
2019_11_12,-235,661,-59,-90,-275,-46,18,26
2019_11_13,-20,-1055,6,-33,821,-216,303,194
2019_11_14,146,-290,340,-519,-306,22,172,435
2019_11_15,309,-739,185,337,207,252,-172,-379
2019_11_18,203,-663,305,-41,-25,187,-70,104
2019_11_19,67,233,-230,189,346,-633,-105,133
2019_11_20,-56,984,-12,-266,-141,-365,-67,-77
2019_11_21,-144,707,-168,-135,-158,177,-244,-35
2019_11_22,-403,1791,-764,-10,-4,-174,-408,-28
2019_11_25,36,-272,446,-110,-56,18,152,-214
